Genotype	Traitement	Diam_moyen	Hauteur_moyenne	Poids_moyen	X.MS	Glucose	Fructose	Saccharose	Total_sucres	Ac.citrique	Ac.malique	Ac.quinique	Total_acides	VitCred	VitCtot	tot/red	luteine	lycopene	beta-carotene	phytoene	Total_carotenoides
Geno1	Stress	52,54	35,4	54,58	7,37	116,53	134,27	8,94	259,74	62,31	2,84	26,12	91,26	232,97	198,71	0,85	0,34	32,13	5,71	9,76	47,93
Geno1	Stress	49,97	30,62	42,99	7,07	111,19	123,74	8,17	243,11	53,98	2,54	23,68	80,19	176,84	179,88	1,02	0,32	24	5,07	7,06	36,45
Geno1	Stress	46,77	31,92	39,76	6,82	112,69	119,14	8,25	240,08	46,91	2,75	23,25	72,91	321,3	267,92	0,83	0,41	36,55	6,27	11,49	54,7
Geno1	Stress	47,12	31,22	42,16	7,81	111,86	131,12	9,44	252,42	50,71	2,59	24,82	78,12	240,34	235,08	0,98	0,4	34,06	7,06	9,87	51,39
Geno1	Stress	54,31	31,63	61,73	7,05	100,75	113,27	7,68	221,7	51,12	3,77	22,91	77,8	304,26	290,88	0,96	0,41	52,95	5,74	12,03	71,13
Geno1	Control	38,43	27,8	25,09	6,53	88,91	94,44	6,32	189,67	58,52	3,5	19,1	81,12	213,78	217,88	1,02	0,34	42,11	4,94	13,64	61,02
Geno1	Control	39,48	28,37	25,21	7,02	96,52	108,4	7,6	212,53	61,81	3,46	21,98	87,25	215,36	196,39	0,91	0,33	46,24	4,47	16,59	67,63
Geno1	Control	40,61	27,43	27,78	7,64	93,86	120,83	9,29	223,98	69,18	4,72	23,77	97,67	220,47	209,31	0,95	0,47	44,66	5,69	16,64	67,46
Geno1	Control	45,97	31,58	35,24	6,37	76,2	91,27	5,93	173,4	59,69	4,64	18,31	82,63	265,75	253,98	0,96	0,54	52,51	5,25	17,01	75,3
Geno1	Control	41,28	28,63	27,78	6,01	78,37	85,85	5,24	169,47	51,95	3,9	17,32	73,17	263,07	245,91	0,93	0,43	44,46	5,18	12,04	62,11
Geno2	Stress	42,69	45,94	45,97	8,91	130	150,1	8,46	288,55	29,42	12,86	28,19	70,47	150,42	135,66	0,9	0,45	53,9	3,39	14,57	72,31
Geno2	Stress	42,14	45,59	46,23	9,13	147,03	174,58	5,35	326,95	29,13	12,72	31,89	73,74	161,6	143,66	0,89	0,48	65,85	3,71	17,23	87,27
Geno2	Stress	40,57	44,88	40,36	9,39	136,22	156,25	10,89	303,36	29,4	16,7	29,94	76,04	178,61	157,46	0,88	0,72	47,7	3,65	13,62	65,7
Geno2	Stress	43,41	45,49	47,73	9,33	145,14	163,82	12,18	321,14	31,18	14,21	30,07	75,45	167,05	159,65	0,96	0,58	65,22	4,12	19,83	89,75
Geno2	Stress	41,37	45,28	43,56	7,78	151,62	154,27	10,7	316,59	24,79	10,37	28,52	63,69	201,08	178,44	0,89	0,42	58,37	3,27	18,61	80,67
Geno2	Control	41,43	45,63	42,83	8,39	134,57	147,43	9,12	291,12	31,07	16,89	27,87	75,83	157,37	135,12	0,86	0,55	64,12	3,3	16,03	84
Geno2	Control	42,34	43,42	41,88	8,96	141,52	158,68	10,14	310,34	30,07	17,21	28,62	75,9	147,69	138,26	0,94	0,57	61,1	3,49	15,23	80,39
Geno2	Control	41,79	44,67	43,45	8,95	139,33	154,46	6,76	300,56	31,72	18,72	28,26	78,71	160,73	144,04	0,9	0,72	78,76	3,29	21,15	103,91
Geno2	Control	40,67	42,55	39,47	9,26	132,9	149,94	7,99	290,84	28,78	14,57	26,47	69,82	163,94	139,28	0,85	0,59	52,2	3,28	12,79	68,86
Geno2	Control	40,82	43,94	38,08	8,18	133,92	147,53	7,28	288,73	27,62	20,84	27,29	75,75	154,88	139,04	0,9	0,51	55,45	3,01	15,95	74,92
